mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel_cost,grid_cost,fuelflow,absolute_ts,aircraft,stage,case
62399.99990143745,0.0,-212132.03427309083,-212132.0342730909,10923.253773509743,49.05492143927051,4.088719086792431,35837.0,0.764548,439.0263,-0.0,45.0,61.390221290581394,,0.7104291608893147,0.0,AC0,free,pair_a090_horizontal
62338.60968014687,86.2788,-198352.88043533292,-198352.880435333,10923.253773193837,49.18342870940017,4.270776167821233,35837.0,0.768414,441.246,-0.0,45.0,61.53796920316381,,0.7116698929094939,86.2788,AC0,free,pair_a090_horizontal
62277.0717109437,172.5575,-184504.06065335168,-184504.06065335177,10923.253772939484,49.312295855414305,4.4547078736277825,35837.0,0.77188,443.2365,-0.0,45.0,61.679655918669596,,0.7127902499286137,172.5575,AC0,free,pair_a090_horizontal
62215.39205502503,258.8363,-170592.7676081507,-170592.7676081508,10923.253772736389,49.44144891812834,4.640439614880942,35837.0,0.775048,445.0554,-0.0,45.0,61.817775690185954,,0.7138204032443821,258.8363,AC0,free,pair_a090_horizontal
62153.57427933485,345.115,-156624.38638514708,-156624.38638514729,10923.253772572887,49.570831147069214,4.827919408340923,35837.0,0.777981,446.7397,-0.0,45.0,61.953910344687756,,0.7147797650731034,345.115,AC0,free,pair_a090_horizontal
62091.62036899016,431.3938,-142603.14300686377,-142603.14300686392,10923.253772437125,49.70039683535755,5.017109694957112,35837.0,0.780724,448.3147,-0.0,45.0,62.0891350031452,,0.7156815799992157,431.3938,AC0,free,pair_a090_horizontal
62029.531233987014,517.6726,-128532.46749380029,-128532.46749380045,10923.253772317792,49.830107861660764,5.20798278086476,35837.0,0.783308,449.7987,-0.0,45.0,62.22421838559967,,0.7165354418907849,517.6726,AC0,free,pair_a090_horizontal
61967.307015601415,603.9513,-114415.21519229154,-114415.21519229174,10923.253772204484,49.959931578023834,5.4005180708054334,35837.0,0.785758,451.2055,-0.0,45.0,62.35973184269096,,0.7173486182807773,603.9513,AC0,free,pair_a090_horizontal
61904.947283758724,690.2301,-100253.81047673634,-100253.81047673656,10923.253772087803,50.08983943582494,5.594700279811061,35837.0,0.788092,452.5455,-0.0,45.0,62.49609957072971,,0.7181264823325174,690.2301,AC0,free,pair_a090_horizontal
61842.451184187994,776.5088,-86050.3478058858,-86050.34780588605,10923.253771959402,50.2198060189747,5.790518176515908,35837.0,0.788216,452.617,-0.0,45.0,62.46267534585786,,0.7177201316251887,776.5088,AC0,free,pair_a090_horizontal
61779.988508842136,862.7876,-71844.64020531545,-71844.6402053157,10923.253771817339,50.349462187786415,5.98743582463462,35837.0,0.788181,452.5967,-0.0,45.0,62.416664543132356,,0.717227736516923,862.7876,AC0,free,pair_a090_horizontal
61717.571844299004,949.0664,-57639.569966315976,-57639.56996631627,10923.253771661639,50.47877823577567,6.1854214830173,35837.0,0.788145,452.5763,-0.0,45.0,62.3707205956016,,0.7167359486528477,949.0664,AC0,free,pair_a090_horizontal
61655.2011237034,1035.3451,-43435.13980735998,-43435.13980736028,10923.253771492458,50.60775080521123,6.384483027617471,35837.0,0.78811,452.5559,-0.0,45.0,62.32484353007749,,0.7162448616020644,1035.3451,AC0,free,pair_a090_horizontal
61592.876280173325,1121.6239,-29231.35240883873,-29231.352408839077,10923.253771309981,50.736376504786826,6.584628359094894,35837.0,0.788074,452.5353,-0.0,45.0,62.27903318519384,,0.7157542834678238,1121.6239,AC0,free,pair_a090_horizontal
61530.59724698813,1207.9026,-15028.210455937367,-15028.210455937728,10923.25377111439,50.86465190896742,6.785865401048568,35837.0,0.788038,452.5147,-0.0,45.0,62.23328936986945,,0.7152644032400747,1207.9026,AC0,free,pair_a090_horizontal
61468.36395761826,1294.1814,-825.7166454635217,-825.7166454638987,10923.253770905885,50.99257355766805,6.988202098696828,35837.0,0.788002,452.4939,-0.0,45.0,62.187611884612124,,0.7147750282569743,1294.1814,AC0,free,pair_a090_horizontal
61406.17634573365,1380.4602,13376.126312161146,13376.126312160757,10923.253770684683,51.12013795597993,7.191646417574387,35837.0,0.787965,452.4731,-0.0,45.0,62.14200052683009,,0.7142863482901386,1380.4602,AC0,free,pair_a090_horizontal
61344.03434520682,1466.7389,27577.315692085318,27577.315692084914,10923.253770451003,51.24734157390994,7.396206342194908,35837.0,0.787929,452.4522,-0.0,45.0,62.09645509249094,,0.7137982661005539,1466.7389,AC0,free,pair_a090_horizontal
61281.93789011433,1553.0177,41777.84875459706,41777.84875459667,10923.25377020507,51.37418084612691,7.601889874666996,35837.0,0.787892,452.4312,-0.0,45.0,62.05097537664551,,0.7133107800612615,1553.0177,AC0,free,pair_a090_horizontal
61219.88691473768,1639.2964,55977.72274484417,55977.72274484378,10923.253769947136,51.50065217171249,7.8087050332592,35837.0,0.787856,452.4101,-0.0,45.0,62.005561173886235,,0.7128238885499747,1639.2964,AC0,free,pair_a090_horizontal
61157.8813535638,1725.5752,70176.93489262184,70176.93489262137,10923.253769677425,51.62675191391628,8.016659850911653,35837.0,0.787819,452.3889,-0.0,45.0,61.960212278412655,,0.7123375899490736,1725.5752,AC0,free,pair_a090_horizontal
61095.921141285384,1811.854,84375.48241219312,84375.48241219262,10923.253769396195,51.75247639991501,8.22576237369259,35837.0,0.787782,452.3677,-0.0,45.0,61.914928484213306,,0.7118519795934775,1811.854,AC0,free,pair_a090_horizontal
61034.00621280117,1898.1327,98573.36250212636,98573.36250212586,10923.253769103683,51.877821920576054,8.436020659198304,35837.0,0.787745,452.3463,-0.0,45.0,61.86970958490565,,0.7113668621689736,1898.1327,AC0,free,pair_a090_horizontal
60972.136503216265,1984.4115,112770.57234514173,112770.57234514119,10923.253768800158,52.00278473022517,8.647442774895145,35837.0,0.787707,452.3248,-0.0,45.0,61.824555373968906,,0.7108823328295224,1984.4115,AC0,free,pair_a090_horizontal
60910.311947842296,2070.6902,126967.10910796258,126967.10910796201,10923.253768485845,52.1273610464191,8.86003679640223,35837.0,0.78767,452.3033,-0.0,45.0,61.77946564460581,,0.7103984874924136,2070.6902,AC0,free,pair_a090_horizontal
60848.53248219769,2156.969,141162.9699411698,141162.96994116934,10923.253768161008,52.251547049722895,9.073810805713556,35837.0,0.787632,452.2817,-0.0,45.0,61.73444018981536,,0.7099152274243066,2156.969,AC0,free,pair_a090_horizontal
